program_id;tercih_eden_sayisi
101310234;1622
101310234;1
101370264;1098
101370264;1
101370260;24
101310022;447
101310022;11
101370270;795
101310243;1471
101310243;29
101310243;5
101310252;1821
101310252;16
101370261;726
101370261;14
101370261;1
101310031;545
101310031;23
101490396;12790
101490396;260
101490396;12
101490396;1
101490405;2742
101490405;46
101490405;2
101490405;2
101490397;1587
101490397;57
101411073;15415
101411073;58
101411064;1894
101411064;43
101411064;1
101490288;2987
101490288;17
101490289;4256
101490289;106
101490289;6
101490399;486
101490399;13
101490287;6952
101490287;177
101490287;1
101411055;11097
101411055;204
101411055;3
101411134;2872
101411134;24
101490390;3429
101490390;59
101490390;4
101490390;1
101490398;1206
101490398;84
101490398;1
101410012;2895
101410012;52
101410012;17
101410012;4
101410021;2725
101410021;114
101410021;9
101410021;4
101410039;759
101410039;5
101410039;1
101410048;556
101410048;7
101430458;444
101430458;1
101430458;1
101410057;311
101410815;767
101410815;10
101410815;3
101430467;353
101410075;959
101430034;449
101410806;572
101430449;642
101430449;3
101410084;84
101410093;714
101410093;2
101490364;1036
101490364;5
101490364;5
101490365;811
101490365;11
101490408;646
101490408;15
101490408;9
101411091;435
101411091;3
101410154;780
101410154;8
101430079;748
101430079;2
101410163;597
101410163;2
101430088;384
101430088;3
101410172;890
101430097;890
101430097;3
101430097;1
101410181;953
101410181;13
101430104;818
101430104;1
101490406;187
101410066;536
101410066;17
101410109;307
101410109;1
101410136;384
101410136;2
101410145;926
101410145;16
101411001;730
101411001;9
101490394;435
101490394;4
101490402;876
101490402;2
101490402;1
101490297;280
101490297;8
101490297;1
101411319;3763
101411319;13
101411319;1
101490363;796
101490363;4
101410206;2115
101410206;38
101430564;1710
101430564;43
101430564;4
101410851;617
101410824;458
101410824;11
101410824;3
101410215;1089
101410215;4
101410224;832
101410224;8
101410233;443
101430388;380
101490393;707
101490393;2
101411116;747
101411116;18
101430555;576
101430555;23
101410242;1840
101410242;3
101430494;1375
101430494;1
101490295;414
101490295;8
101410251;1181
101410251;10
101410251;3
101410251;1
101430334;1159
101430334;25
101430334;3
101410842;1039
101410842;1
101430352;1163
101430352;5
101410269;1197
